,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,Mississippi,1,0.002059806,0.253373313,6099.661471,36410,56615,1792,-2671.61589,-0.000902183,71028,14870.93883,0.005021796
1,Mississippi,2,0.001209902,0.149547573,3582.858366,32837,19089,-971,-1473.045994,-0.000497436,66645,8638.762726,0.00291724
2,Mississippi,3,0.002933627,0.130063802,8687.287465,53042,10152,863,1900.688341,0.000641847,105221,15473.88659,0.005225407
3,Mississippi,4,0.001314179,0.117789204,3891.650155,58917,6483,-988,-3164.512111,-0.00106863,118822,10947.81242,0.003696988
4,Mississippi,5,0.001125986,0.122507903,3334.358687,72813,5813,-3188,-5976.364453,-0.00201817,148814,12645.08183,0.004270142
5,Mississippi,6,0.001024036,0.078201502,3032.457092,91266,4009,-2299,-4284.466442,-0.00144683,184831,10349.38063,0.003494902
6,Mississippi,7,0.00328991,0.362363658,9742.342042,95982,21561,-852,-25346.78039,-0.008559403,192816,44831.46448,0.015139223
7,Mississippi,8,0.00499191,0.369429352,14782.43731,77340,93217,-753,-14067.40905,-0.00475045,155433,43632.28366,0.01473427
8,Mississippi,9,0.00404518,0.304075724,11978.90521,85775,48733,-1309,-14501.22514,-0.004896947,172859,38459.03557,0.012987306
9,Mississippi,10,0.002227178,0.152573195,6595.295689,93022,15102,-579,-7685.707948,-0.002595401,186623,20876.29933,0.007049758
10,New Mexico,1,0.003571302,0.083128674,7562.310119,54508,29922,-1139,2936.448789,0.001386738,110155,12188.17145,0.005755865
11,New Mexico,2,0.002137319,0.031255815,4525.820517,55218,10582,-348,2789.059898,0.001317134,110784,6262.581136,0.002957505
12,New Mexico,3,0.002760923,0.021746644,5846.314229,105381,6355,1690,3591.382976,0.001696031,209072,8101.245481,0.003825814
13,New Mexico,4,0.002629522,0.022248019,5568.070396,116540,5788,-4777,2869.007535,0.001354889,237857,8267.133258,0.003904155
14,New Mexico,5,0.00263927,0.02370525,5588.711354,151111,5088,-1888,1961.831837,0.000926475,304110,9215.590871,0.004352064
15,New Mexico,6,0.003144907,0.014304089,6659.410641,189359,2391,-772,3939.759891,0.001860552,379490,9379.06139,0.004429263
16,New Mexico,7,0.007266111,0.032367558,15386.14954,207455,4787,1173,8709.30493,0.00411297,413737,22062.99416,0.010419251
17,New Mexico,8,0.011567331,0.06713362,24494.07689,193527,22198,1327,11590.99512,0.005473849,385727,37397.15866,0.017660812
18,New Mexico,9,0.009308809,0.050606386,19711.60762,194629,19537,5952,10163.34661,0.004799642,383306,29259.86863,0.013817976
19,New Mexico,10,0.006890261,0.064615896,14590.27943,218567,21394,-9774,-164.178818,-7.75E-05,446908,29344.73768,0.013858056
20,Louisiana,1,0.006779717,0.107594426,31578.27527,217262,85351,8850,9154.305743,0.001965389,425674,54002.2448,0.011594045
21,Louisiana,2,0.00428782,0.051072543,19971.62442,220679,28509,1,8701.037753,0.001868075,441357,31242.21109,0.006707566
22,Louisiana,3,0.007474558,0.033394433,34814.67373,352646,14429,11070,23407.93674,0.005025581,694222,46221.41071,0.009923534
23,Louisiana,4,0.005400314,0.029519365,25153.34872,410352,13112,-1409,12998.42556,0.002790705,822113,37308.27187,0.008009922
24,Louisiana,5,0.004359751,0.036162972,20306.66272,499510,12104,-13923,1739.399311,0.000373441,1012943,38873.92612,0.008346061
25,Louisiana,6,0.003615826,0.033494131,16841.64109,516860,9804,-5692,-660.7838791,-0.000141867,1039412,34344.06606,0.00737352
26,Louisiana,7,0.010719394,0.133461326,49928.33351,555948,59644,2578,-23925.16039,-0.005136627,1109318,123781.8274,0.026575415
27,Louisiana,8,0.013883276,0.155007205,64664.92413,413885,138117,1571,753.2833711,0.000161727,826199,128576.5649,0.027604825
28,Louisiana,9,0.007347822,0.069916228,34224.37146,271424,48357,20204,16660.01658,0.003576832,522644,51788.72634,0.011118812
29,Louisiana,10,0.007195725,0.028336099,33515.93852,512431,16565,17770,19499.17555,0.004186387,1007092,47532.70149,0.010205063
30,Georgia,1,0.016920779,0.220459983,181253.8291,1482893,231856,-2315,-146175.1007,-0.013646038,2968101,508682.7589,0.047487596
31,Georgia,2,0.009879502,0.129206791,105828.3118,1456427,94042,-5356,-83043.97879,-0.007752492,2918210,294700.6025,0.027511495
32,Georgia,3,0.016936165,0.090284258,181418.6464,2169070,50888,16173,-12954.0628,-0.001209314,4321967,375791.3555,0.035081645
33,Georgia,4,0.012812164,0.077767289,137242.7184,2317105,39214,-6369,-43447.5559,-0.004056005,4640579,317932.9927,0.029680333
34,Georgia,5,0.011870949,0.049288803,127160.5165,3184707,22354,-16260,-30611.31457,-0.00285769,6385674,284932.3476,0.026599589
35,Georgia,6,0.009467991,0.032755106,101420.2463,3456142,10493,-5124,-11953.88905,-0.001115944,6917408,214794.3817,0.020051926
36,Georgia,7,0.029849391,0.121151204,319743.9278,3779152,44356,-5305,-138747.5947,-0.01295265,7563609,778235.4502,0.072651431
37,Georgia,8,0.042837472,0.236462385,458871.0603,3445993,224133,-23280,-361481.5083,-0.033745763,6915266,1279223.629,0.119420707
38,Georgia,9,0.034746102,0.159746155,372197.0494,3224544,165432,-6137,-143891.8187,-0.013432884,6455225,888285.9175,0.082925088
39,Georgia,10,0.023233247,0.064329951,248872.4001,3539351,52030,27014,22923.93312,0.002140042,7051688,474820.867,0.044326451
40,North Carolina,1,0.013178724,0.109016773,137577.8184,1083449,217981,4930,20001.15731,0.001915932,2161968,255154.4794,0.024441517
41,North Carolina,2,0.007882013,0.072903133,82283.38906,1088650,97246,-8179,2321.118123,0.000222342,2185479,162245.66,0.015541683
42,North Carolina,3,0.009755887,0.590571227,101845.4849,1695244,51962,-861,-899825.3265,-0.086195218,3391349,1103516.296,0.105706991
43,North Carolina,4,0.011492425,0.065963213,119973.8861,1988749,53593,723,-11162.69701,-0.001069287,3976775,251110.4692,0.024054137
44,North Carolina,5,0.008440427,0.050104831,88112.89427,2245100,31402,-4548,-24605.33745,-0.002356971,4494748,200831.126,0.019237826
45,North Carolina,6,0.006155403,0.022756881,64258.64487,2359833,10446,-23904,10012.22593,0.000959082,4743570,118505.0638,0.011351725
46,North Carolina,7,0.019320583,0.073892245,201695.0596,2535436,34091,2811,14553.71282,0.001394116,5068061,388836.4063,0.03724705
47,North Carolina,8,0.029268608,0.139453247,305546.3504,2312252,165578,34002,-12163.00968,-0.001165108,4590502,623255.7105,0.059702323
48,North Carolina,9,0.023031303,0.113920263,240432.7031,2128402,174352,-6929,-2824.765202,-0.000270587,4263733,483690.1714,0.046333192
49,North Carolina,10,0.016295625,0.069966283,170116.3545,2455132,77297,7780,-1115.767461,-0.000106881,4902484,341348.4765,0.032698131
50,Pennsylvania,1,0.004688629,0.120023047,60964.83185,506407,194563,18440,2397.545755,0.000184388,994374,119532.1179,0.009192869
51,Pennsylvania,2,0.002757952,0.07596225,35860.81889,493735,84636,-11814,-2541.820854,-0.000195484,999284,74263.45864,0.005711388
52,Pennsylvania,3,0.006682554,0.077787052,86891.2428,782121,93663,-30312,23694.47503,0.001822273,1594554,150088.0106,0.011542834
53,Pennsylvania,4,0.004730256,0.095620184,61506.09408,969668,123877,40898,-27303.06407,-0.0020998,1898438,150315.2522,0.011560311
54,Pennsylvania,5,0.003579641,0.052644104,46545.00158,1166642,49331,17734,-13938.23071,-0.001071949,2315550,107028.2339,0.008231232
55,Pennsylvania,6,0.002685722,0.017134412,34921.6391,1396297,10133,-2664,10951.26489,0.00084223,2795258,58892.01332,0.004529214
56,Pennsylvania,7,0.009676886,0.030220302,125825.6462,1567186,14014,31542,79418.02147,0.00610781,3102830,172233.271,0.013245962
57,Pennsylvania,8,0.014668154,0.079775406,190725.5998,1475053,70315,60237,77858.07919,0.005987839,2889869,303593.1203,0.023348468
58,Pennsylvania,9,0.009913355,0.09956594,128900.3851,1222131,128294,8279,8042.069066,0.000618492,2435983,249758.7011,0.019208218
59,Pennsylvania,10,0.005837319,0.099177943,75900.90613,1366488,131842,-17231,-61333.4978,-0.004716982,2750207,213135.3101,0.016391619
60,Oklahoma,1,0.004368627,0.198150769,17296.93647,124359,98988,10910,-5183.070115,-0.00130907,237808,39776.94306,0.010046324
61,Oklahoma,2,0.002341841,0.105054344,9272.175678,104847,33946,-2538,-2009.08503,-0.000507428,212232,20553.43639,0.00519111
62,Oklahoma,3,0.004369105,0.054854334,17298.83096,185589,13794,3320,7300.586318,0.001843884,367858,27297.07559,0.006894327
63,Oklahoma,4,0.002738087,0.035264866,10841.05337,200781,8141,-4571,3599.342706,0.000909073,406133,18082.76403,0.004567101
64,Oklahoma,5,0.002773361,0.062737616,10980.71701,271027,4472,-8607,-6562.853475,-0.001657557,550661,28524.2875,0.00720428
65,Oklahoma,6,0.002839648,0.082795796,11243.17034,303759,4608,-2268,-14094.57858,-0.003559819,609786,36580.91926,0.009239115
66,Oklahoma,7,0.00698721,0.27970852,27664.83267,322625,22455,-2614,-63307.28672,-0.015989301,647864,118636.9521,0.029963722
67,Oklahoma,8,0.010531276,0.796522341,41697.04027,288878,71323,16234,-175469.9969,-0.044317846,561522,258864.0775,0.065380399
68,Oklahoma,9,0.007296588,0.268944894,28889.7669,259832,59269,259,-40921.06612,-0.010335291,519405,98700.59992,0.024928467
69,Oklahoma,10,0.005210831,0.556531667,20631.51769,291058,28761,-163,-141442.1908,-0.035723562,582279,182705.2262,0.046145223
70,Tennessee,1,0.008344546,0.177704962,57667.82355,441030,141059,13993,-18218.77022,-0.00263626,868067,133554.4173,0.019325352
71,Tennessee,2,0.004527364,0.099853762,31287.89024,391900,45817,-3602,-8204.472326,-0.001187189,787402,70780.25281,0.010241917
72,Tennessee,3,0.011049852,0.087585528,76363.75614,718250,36149,359,13486.89351,0.001951556,1436141,139240.6188,0.020148147
73,Tennessee,4,0.006953154,0.07984737,48052.13164,804977,33816,17385,-14835.01824,-0.00214663,1592569,110939.2815,0.016052937
74,Tennessee,5,0.005706695,0.04943861,39438.05912,988208,14971,-30713,-10935.97923,-0.001582438,2007129,89812.09746,0.012995829
75,Tennessee,6,0.004604279,0.018088552,31819.43285,1114916,3960,-4143,11577.2763,0.001675234,2233975,52061.58941,0.007533323
76,Tennessee,7,0.014137004,0.11330838,97698.57,1234887,26397,-16447,-44088.05809,-0.006379551,2486221,239485.1981,0.034653558
77,Tennessee,8,0.020660203,0.242932164,142779.3589,1084663,158255,12937,-117577.3573,-0.017013468,2156389,403136.0751,0.058333875
78,Tennessee,9,0.015874231,0.220887182,109704.2736,1020619,167292,7186,-114150.0863,-0.016517541,2034052,333558.6335,0.048266004
79,Tennessee,10,0.010701887,0.116203763,73959.02589,1174380,48445,-50,-62514.15898,-0.009045812,2348810,210432.2108,0.030449585
80,Indiana,1,0.003666859,0.084788397,24881.57395,192182,108909,23088,10544.36477,0.001553949,361276,39218.78313,0.005779769
81,Indiana,2,0.002122225,0.033902898,14400.41746,181340,33282,-6558,8030.130794,0.00118342,369238,20770.70413,0.00306103
82,Indiana,3,0.004483846,0.029023129,30425.26124,303357,24284,-20182,21035.14723,0.003100002,626896,39815.37525,0.00586769
83,Indiana,4,0.003207088,0.038663422,21761.78881,332731,32712,26995,9940.988865,0.001465028,638467,33582.58876,0.004949149
84,Indiana,5,0.002267434,0.033933278,15385.74026,373492,22119,-3154,2604.906875,0.000383892,750138,28166.57365,0.004150977
85,Indiana,6,0.00178975,0.024141479,12144.40117,439649,9714,-5979,1386.282203,0.0002043,885277,22902.52013,0.003375201
86,Indiana,7,0.005731122,0.045751018,38888.68796,482687,16982,18093,17633.03965,0.002598625,947281,60144.33627,0.008863619
87,Indiana,8,0.007691132,0.085696021,52188.39366,411228,87267,20278,18685.53443,0.002753733,802178,85691.2529,0.012628531
88,Indiana,9,0.005705236,0.083013042,38713.03934,375529,101512,-1794,7390.309397,0.001089128,752852,70035.76929,0.010321344
89,Indiana,10,0.004007152,0.062407236,27190.63992,465168,57100,-6153,-2223.201048,-0.000327639,936489,56604.48088,0.008341942
90,Virginia,1,0.007250864,0.159108434,62585.05542,510963,150013,26776,-14453.17972,-0.00167449,995150,139623.2906,0.016176218
91,Virginia,2,0.003837926,0.106737024,33126.64831,453642,68410,-11467,-16517.70207,-0.001913677,918751,82770.99869,0.00958953
92,Virginia,3,0.011018765,0.075973385,95107.28865,772036,41802,-25190,34539.3307,0.004001594,1569262,155675.2466,0.018035935
93,Virginia,4,0.007066067,0.072897815,60990.00335,1038460,38789,23866,-12971.68187,-0.001502849,2053054,134951.6886,0.015634984
94,Virginia,5,0.00567796,0.03851987,49008.70802,1274108,14985,11322,366.3549016,4.24E-05,2536894,97651.06114,0.011313476
95,Virginia,6,0.004194825,0.018474734,36207.18729,1469642,4743,-14423,8789.481088,0.001018315,2953707,63624.89349,0.007371335
96,Virginia,7,0.014621696,0.049639378,126205.6087,1751372,13820,23706,40445.3428,0.004685842,3479038,211965.8747,0.024557551
97,Virginia,8,0.024926236,0.126917386,215148.1369,1753818,72051,36422,-2819.27407,-0.00032663,3471214,433115.5478,0.050179102
98,Virginia,9,0.017622312,0.136882076,152105.1046,1480640,96934,-100,-50581.66003,-0.005860197,2961380,354791.8692,0.041104822
99,Virginia,10,0.011545013,0.089229041,99649.54866,1706098,55443,-24358,-54757.38071,-0.00634398,3436554,254056.478,0.029434007
100,Nebraska,1,0.005260431,0.066792912,10318.35619,88312,22997,8317,4975.257189,0.00253645,168307,15661.45519,0.007984412
101,Nebraska,2,0.002909268,0.037028614,5706.540555,83424,9932,-4727,2442.431199,0.001245183,171575,8970.649911,0.004573353
102,Nebraska,3,0.004955335,0.039607882,9719.909649,138578,8400,-1886,4156.428117,0.002119001,279042,15283.39118,0.00779167
103,Nebraska,4,0.004055127,0.04136845,7954.147508,145702,9930,4644,2118.796688,0.00108019,286760,13789.49833,0.007030064
104,Nebraska,5,0.003807791,0.026127001,7468.997871,185220,3336,-6750,2453.397482,0.001250774,377190,12484.59826,0.006364809
105,Nebraska,6,0.00358566,0.014636386,7033.287246,222324,1084,8044,3897.002511,0.001986742,436604,10169.57198,0.005184579
106,Nebraska,7,0.007952988,0.045055495,15599.81788,224156,3962,-7113,5179.878625,0.002640769,455425,26019.75713,0.013265207
107,Nebraska,8,0.011991848,0.068902676,23522.05834,205962,15804,14325,10317.75629,0.005260125,397599,36726.36038,0.018723571
108,Nebraska,9,0.008784283,0.078081026,17230.40561,183227,22195,-3363,2661.267052,0.001356748,369817,31799.54417,0.016211817
109,Nebraska,10,0.007020363,0.076425167,13770.47067,209298,17687,1528,-2108.386298,-0.001074882,417068,29649.32764,0.015115609
110,Florida,1,0.017435875,0.120432667,375537.1394,3215468,398062,-290878,-46741.46129,-0.002170167,6721814,797815.7401,0.037041917
111,Florida,2,0.011683772,0.076940074,251647.2569,3625583,182114,161733,-14861.61754,-0.000690012,7089433,518156.1313,0.024057556
112,Florida,3,0.025968734,0.061995359,559319.4493,5798399,146814,377277,223235.0434,0.010364616,11219521,895403.8551,0.041572852
113,Florida,4,0.014838222,0.074846205,319588.3963,5608362,168993,-357196,-126910.9784,-0.005892371,11573920,766087.7709,0.035568814
114,Florida,5,0.010119498,0.045177992,217955.6426,6208853,81881,-178659,-70619.3259,-0.003278796,12596365,506530.6111,0.023517792
115,Florida,6,0.00777266,0.02736243,167409.0143,6478858,38709,-92412,-12396.89929,-0.000575578,13050128,347214.9279,0.016120899
116,Florida,7,0.020963908,0.128875508,451524.5783,6883048,268770,10176,-434220.2895,-0.020160485,13755920,1337269.446,0.062088301
117,Florida,8,0.030137386,0.165884515,649104.662,5521796,616220,-270683,-311777.9079,-0.014475587,11314275,1609987.232,0.07475036
118,Florida,9,0.022477738,0.133446489,484129.7324,4816096,313305,51024,-151752.3966,-0.007045737,9581168,1120011.861,0.052001214
119,Florida,10,0.018512763,0.032850941,398731.3414,5932802,70706,231080,211424.4088,0.009816258,11634524,586038.2741,0.027209267
120,Colorado,1,0.031608152,0.058564619,182496.4309,1362493,59024,-29381,100981.8602,0.017489931,2754367,264011.0016,0.045726373
121,Colorado,2,0.017680559,0.041695453,102082.4923,1380618,31202,14380,45116.58006,0.007814135,2746856,159048.4046,0.027546984
122,Colorado,3,0.0230427,0.045788799,133041.9578,1939036,32242,-21467,43272.87901,0.007494808,3899539,222811.0365,0.038590591
123,Colorado,4,0.018888726,0.05800887,109058.1044,2088320,47281,-46575,-14784.74309,-0.002560699,4223215,232900.9519,0.040338152
124,Colorado,5,0.015978638,0.040384349,92256.08645,2444056,30370,-5935,-6685.206207,-0.001157869,4894047,191197.3791,0.033115145
125,Colorado,6,0.015579736,0.0314004,89952.94237,2811442,14210,59416,3538.224043,0.000612816,5563468,176367.6607,0.030546657
126,Colorado,7,0.040544051,0.039287891,234089.7553,3107240,16761,-10451,111602.2515,0.01932937,6224931,356577.259,0.061758733
127,Colorado,8,0.06505026,0.062712521,375581.5957,2883236,40796,-10810,194088.6752,0.033615914,5777282,557074.5162,0.096484605
128,Colorado,9,0.052370001,0.057416613,302369.4062,2659880,53291,1879,149755.9905,0.025937549,5317881,454982.8219,0.078802452
129,Colorado,10,0.040199139,0.072671613,232098.3334,2747137,66944,-29571,30310.48367,0.005249738,5523845,433886.1831,0.075148541
130,Minnesota,1,0.010951043,0.05253253,62492.06293,498335,46505,5279,36590.58384,0.006412095,991391,88393.54202,0.015489991
131,Minnesota,2,0.006288497,0.03339685,35885.27126,509224,22066,-26016,18009.94137,0.003156043,1044464,53760.60115,0.009420951
132,Minnesota,3,0.00899562,0.047209727,51333.44963,773103,34299,-41423,12879.8992,0.00225706,1587629,89787.00007,0.015734179
133,Minnesota,4,0.008554654,0.066128471,48817.08367,822004,54145,66262,-1158.979146,-0.000203098,1577746,98793.14648,0.017312407
134,Minnesota,5,0.006966714,0.040462967,39755.51228,1002387,23860,33677,558.6316209,9.79E-05,1971097,78952.39293,0.013835534
135,Minnesota,6,0.005935201,0.01300879,33869.19003,1186589,3848,21916,18718.20388,0.003280158,2351262,49020.17618,0.008590244
136,Minnesota,7,0.015211506,0.025499764,86804.37012,1320270,7253,-11231,52851.40826,0.009261625,2651771,120757.332,0.021161388
137,Minnesota,8,0.025849532,0.060892429,147510.1972,1273247,37263,10257,70603.66863,0.012372513,2536237,224416.7258,0.039326551
138,Minnesota,9,0.020678759,0.075440849,118003.217,1076230,59706,-7299,36260.86962,0.006354317,2159759,199745.5643,0.035003202
139,Minnesota,10,0.01561779,0.085300745,89122.82341,1164628,72760,-11462,-11198.52968,-0.001962419,2340718,189444.1765,0.033197998
140,Delaware,1,1.42E-05,0.081237793,14.10422544,93,20007,-2,6.386635084,6.45E-06,188,21.8218158,2.20E-05
141,Delaware,2,4.07E-05,0.052337014,40.31659864,524,8304,-105,7.396616791,7.47E-06,1153,73.23658049,7.40E-05
142,Delaware,3,6.48E-05,0.046478314,64.10320145,1034,7722,-282,2.93774058,2.97E-06,2350,125.2686623,0.000126541
143,Delaware,4,0.000126006,0.063875645,124.7393677,1691,9217,274,34.22757944,3.46E-05,3108,215.251156,0.000217437
144,Delaware,5,6.03E-05,0.032619972,59.69185613,1175,4245,197,27.78952393,2.81E-05,2153,91.59418832,9.25E-05
145,Delaware,6,2.78E-05,0.015850225,27.47458698,1010,850,-104,9.817436662,9.92E-06,2124,45.13173729,4.56E-05
146,Delaware,7,0.000203376,0.033715733,201.3319423,1571,1637,-130,143.98148,0.000145443,3272,258.6824047,0.000261309
147,Delaware,8,0.000278164,0.077102673,275.368295,1660,8289,74,153.0834551,0.000154638,3246,397.6531349,0.000401691
148,Delaware,9,0.000126681,0.086624471,125.4076598,926,12783,20,46.92588869,4.74E-05,1832,203.8894309,0.00020596
149,Delaware,10,5.27E-05,0.063472007,52.14136953,1233,10599,6,-25.73878282,-2.60E-05,2460,130.0215219,0.000131342
150,Idaho,1,0.006214441,0.374908902,11429.01522,97040,21606,-2414,-25857.17468,-0.014059643,196494,48715.20513,0.026488525
151,Idaho,2,0.003199988,0.222740476,5885.117569,101650,7975,-1139,-17010.15321,-0.009249142,204439,28780.38835,0.015649119
152,Idaho,3,0.003142814,0.253414137,5779.967989,143074,9074,-1496,-30856.11378,-0.016777779,287644,42416.04976,0.023063407
153,Idaho,4,0.003404118,0.216912709,6260.533287,138892,6759,-4058,-24747.13841,-0.01345607,281842,37268.20498,0.020264305
154,Idaho,5,0.003616387,0.066287245,6650.918938,179324,4356,1343,-5146.951165,-0.002798616,357305,18448.78904,0.01003139
155,Idaho,6,0.004288871,0.106531113,7887.688982,231446,2693,6464,-16079.89383,-0.008743321,456428,31855.2718,0.017321063
156,Idaho,7,0.008227302,0.208825237,15130.88139,261612,5395,-4021,-40339.99282,-0.021934566,527245,70601.75559,0.038389171
157,Idaho,8,0.013283899,0.402848168,24430.49837,236515,20905,-1917,-71621.3961,-0.038943593,474947,120482.3928,0.065511391
158,Idaho,9,0.012366124,0.452610614,22742.61283,203485,34770,-2220,-70361.65358,-0.038258618,409190,115846.8792,0.062990866
159,Idaho,10,0.006999072,0.600294408,12872.03568,210153,32216,-5988,-116876.198,-0.06355055,426294,142620.2693,0.077548694
160,Kentucky,1,0.005812635,0.221051773,26190.78136,204957,97620,17226,-15307.48913,-0.003397258,392688,67689.05185,0.015022529
161,Kentucky,2,0.003429705,0.141727833,15453.69025,196144,40124,-6988,-13335.768,-0.002959666,399276,44243.1485,0.009819077
162,Kentucky,3,0.00745406,0.081207926,33586.77332,309463,21750,-21486,6711.091456,0.001489422,640412,60462.45519,0.013418699
163,Kentucky,4,0.005362405,0.039075153,24162.11659,369027,16285,28307,10848.43033,0.00240764,709747,37475.80285,0.00831717
164,Kentucky,5,0.003886492,0.019898489,17511.89513,423229,13804,-14035,8811.002044,0.001955464,860493,26212.78823,0.005817519
